ticket_text,category
Cannot login to my account,account
Unable to upload documents,technical
Billing amount higher than expected,billing
Mobile app freezing frequently,technical
My order has not arrived yet,delivery
Two factor authentication not working,account
Website showing server error,technical
My order has not arrived yet,delivery
Need refund for cancelled order,billing
Credit card declined but amount deducted,billing
Unable to apply discount code,billing
Order stuck in transit,delivery
Need refund for cancelled order,billing
Order stuck in transit,delivery
Credit card declined but amount deducted,billing
My order has not arrived yet,delivery
Package arrived damaged,delivery
Billing amount higher than expected,billing
Account locked after multiple login attempts,account
Unable to deactivate account,account
Package delivered to wrong address,delivery
Unable to apply discount code,billing
Account verification email not received,account
Error message when submitting form,technical
Unable to deactivate account,account
Page not loading properly,technical
Charged twice for the same order,billing
Refund not processed yet,billing
Unable to change email address,account
App crashes when opening,technical
Billing amount higher than expected,billing
Invoice amount is incorrect,billing
Unable to deactivate account,account
Received wrong item in delivery,delivery
Unable to change email address,account
Order marked delivered but not received,delivery
Unable to upload documents,technical
Password reset link not working,account
Login page keeps refreshing,account
Payment failed but money deducted,billing
Notification system not sending alerts,technical
Package arrived damaged,delivery
Order marked delivered but not received,delivery
File download not working,technical
Need refund for cancelled order,billing
Credit card declined but amount deducted,billing
Credit card declined but amount deducted,billing
Order marked delivered but not received,delivery
App crashes when opening,technical
Search function not working,technical
Order stuck in transit,delivery
Refund not processed yet,billing
Account locked after multiple login attempts,account
Courier never contacted me,delivery
Need refund for cancelled order,billing
Search function not working,technical
Page not loading properly,technical
Charged twice for the same order,billing
Order stuck in transit,delivery
Unable to deactivate account,account
File download not working,technical
Account locked after multiple login attempts,account
Mobile app freezing frequently,technical
Unable to deactivate account,account
Website showing server error,technical
Account locked after multiple login attempts,account
Application slow after update,technical
Payment failed but money deducted,billing
Delivery delayed for more than a week,delivery
Need refund for cancelled order,billing
Two factor authentication not working,account
Unable to apply discount code,billing
Page not loading properly,technical
Password reset link not working,account
Cannot login to my account,account
Search function not working,technical
File download not working,technical
Notification system not sending alerts,technical
Need refund for cancelled order,billing
My order has not arrived yet,delivery
Delivery agent cancelled order,delivery
Login page keeps refreshing,account
Cannot login to my account,account
Profile update not saving,account
Courier never contacted me,delivery
Tracking number not working,delivery
Notification system not sending alerts,technical
Received wrong item in delivery,delivery
Cannot login to my account,account
Page not loading properly,technical
Charged twice for the same order,billing
Forgot my username,account
Package delivered to wrong address,delivery
Account locked after multiple login attempts,account
Unable to deactivate account,account
Search function not working,technical
Package arrived damaged,delivery
Notification system not sending alerts,technical
Package delivered to wrong address,delivery
Subscription cancelled but still charged,billing
Search function not working,technical
Credit card declined but amount deducted,billing
Package arrived damaged,delivery
App crashes when opening,technical
Website showing server error,technical
Subscription cancelled but still charged,billing
My order has not arrived yet,delivery
Application slow after update,technical
Forgot my username,account
Refund not processed yet,billing
Notification system not sending alerts,technical
Password reset link not working,account
Login page keeps refreshing,account
Order stuck in transit,delivery
Payment gateway showing error,billing
Forgot my username,account
Order marked delivered but not received,delivery
Unable to deactivate account,account
Invoice amount is incorrect,billing
Billing amount higher than expected,billing
Order marked delivered but not received,delivery
Forgot my username,account
Order stuck in transit,delivery
Mobile app freezing frequently,technical
Credit card declined but amount deducted,billing
Application slow after update,technical
Order stuck in transit,delivery
Package delivered to wrong address,delivery
App crashes when opening,technical
Need refund for cancelled order,billing
Received wrong item in delivery,delivery
Notification system not sending alerts,technical
Credit card declined but amount deducted,billing
App crashes when opening,technical
Password reset link not working,account
Two factor authentication not working,account
Credit card declined but amount deducted,billing
Mobile app freezing frequently,technical
Subscription cancelled but still charged,billing
Delivery agent cancelled order,delivery
My order has not arrived yet,delivery
File download not working,technical
Courier never contacted me,delivery
Application slow after update,technical
Website showing server error,technical
Website showing server error,technical
Payment failed but money deducted,billing
Invoice amount is incorrect,billing
Two factor authentication not working,account
Search function not working,technical
Subscription cancelled but still charged,billing
Account locked after multiple login attempts,account
Website showing server error,technical
Unable to change email address,account
Order stuck in transit,delivery
Received wrong item in delivery,delivery
Charged twice for the same order,billing
Need refund for cancelled order,billing
Error message when submitting form,technical
Package arrived damaged,delivery
Mobile app freezing frequently,technical
Error message when submitting form,technical
Cannot login to my account,account
Website showing server error,technical
Delivery agent cancelled order,delivery
Unable to upload documents,technical
Unable to change email address,account
Package delivered to wrong address,delivery
Forgot my username,account
Profile update not saving,account
Package delivered to wrong address,delivery
Unable to upload documents,technical
Notification system not sending alerts,technical
Two factor authentication not working,account
Order marked delivered but not received,delivery
Package arrived damaged,delivery
Password reset link not working,account
Tracking number not working,delivery
Payment gateway showing error,billing
Package delivered to wrong address,delivery
Password reset link not working,account
Unable to deactivate account,account
Courier never contacted me,delivery
Notification system not sending alerts,technical
Unable to deactivate account,account
Cannot login to my account,account
Invoice amount is incorrect,billing
Page not loading properly,technical
Credit card declined but amount deducted,billing
Notification system not sending alerts,technical
Refund not processed yet,billing
Order marked delivered but not received,delivery
Account verification email not received,account
Package delivered to wrong address,delivery
Account verification email not received,account
Unable to apply discount code,billing
Forgot my username,account
Payment failed but money deducted,billing
Billing amount higher than expected,billing
Search function not working,technical
